text,emotion,field
This compiler error in microeconomic models is driving me crazy! It makes no sense.,Frustrated,Business
Can someone explain how angular momentum works? I am totally confused.,Confused,Physics
"My solution for the special relativity problem is clean, efficient, and working perfectly.",Confident,Physics
This is an interesting perspective on heat transfer equations. How does it compare to others?,Curious,Engineering
Can we apply thermodynamic laws concepts to solve this other problem?,Curious,Physics
I feel completely ready to explain thermodynamic cycles to anyone who is struggling.,Confident,Engineering
Another lecture on Docker containers? I'd rather do anything else right now.,Bored,Computer Science
I am tired of getting stuck on basic syntax errors in merge sort.,Frustrated,Computer Science
I feel confident about my grasp of narrative voices ahead of the midterm.,Confident,Literature
Why is the setup for nuclear fission so incredibly difficult and poorly documented?,Frustrated,Physics
I have followed every step of the narrative voices tutorial and it still crashes.,Frustrated,Literature
I solved the entire balance sheets worksheet without looking at any hints.,Confident,Business
I have read this section on poetic meters three times and still don't understand it.,Confused,Literature
Can someone explain how Cold War diplomacy works? I am totally confused.,Confused,History
I'm interested in working on a research project related to material strength.,Curious,Engineering
How do researchers solve the open problems in neurotransmitters?,Curious,Psychology
This lecture on marketing strategies was fascinating! Where can I read more about it?,Curious,Business
How do researchers solve the open problems in periodic trends?,Curious,Chemistry
I don't get the relationship between these variables in periodic trends.,Confused,Chemistry
This lecture on molecular orbitals was fascinating! Where can I read more about it?,Curious,Chemistry
What is the mathematical connection between circuit simulation and other fields?,Curious,Engineering
I've spent the whole weekend on backpropagation and made absolutely zero progress.,Frustrated,Computer Science
I'm curious to see what happens if we change the parameters in treaty negotiations.,Curious,History
Why does natural selection behave this way? It seems very counterintuitive.,Confused,Biology
What is the mathematical connection between spectroscopy and other fields?,Curious,Chemistry
I've mastered the core concepts of gravitational fields. Bring on the advanced stuff!,Confident,Physics
I've been trying to solve this gravitational fields bug for hours and it's still failing!,Frustrated,Physics
The professor's slides on merge sort are just walls of text. So uninteresting.,Bored,Computer Science
I don't understand the difference between these two algorithms in molecular orbitals.,Confused,Chemistry
I have read this section on feedback control loops three times and still don't understand it.,Confused,Engineering
This error message in spectroscopy is completely useless. I am stuck.,Frustrated,Chemistry
This genre conventions homework is extremely monotonous. I can't stay focused.,Bored,Literature
How do researchers solve the open problems in corporate finance?,Curious,Business
Implementing thermodynamic cycles was straightforward. I knew exactly what to do.,Confident,Engineering
The class on circuit simulation is moving at a snail's pace. I'm so disengaged.,Bored,Engineering
I have read this section on economic depressions three times and still don't understand it.,Confused,History
How do researchers solve the open problems in literary analysis?,Curious,Literature
I keep getting confused when trying to apply the formula for partial derivatives.,Confused,Mathematics
The class on phylogenetic trees is moving at a snail's pace. I'm so disengaged.,Bored,Biology
I am stuck on this redox reactions question. The instructions are very unclear.,Confused,Chemistry
I solved the entire organizational behavior worksheet without looking at any hints.,Confident,Business
Why is the setup for military strategies so incredibly difficult and poorly documented?,Frustrated,History
This periodic trends assignment is a nightmare. It is way too hard.,Frustrated,Chemistry
I am tired of getting stuck on basic syntax errors in metaphorical structures.,Frustrated,Literature
I want to explore the history and development of recursion theories.,Curious,Computer Science
This lecture on behavior modification was fascinating! Where can I read more about it?,Curious,Psychology
I'm interested in working on a research project related to chemical equilibrium.,Curious,Chemistry
I am tired of getting stuck on basic syntax errors in post-colonial literature.,Frustrated,Literature
Are there any advanced applications of symbolism in modern industry?,Curious,Literature
This assignment on marketing strategies was simple. I finished it in ten minutes.,Confident,Business
What is the mathematical connection between API routing and other fields?,Curious,Computer Science
This compiler error in Fourier series is driving me crazy! It makes no sense.,Frustrated,Mathematics
I've been listening to this talk on eigenvalues and eigenvectors for an hour and nothing is happening.,Bored,Mathematics
I've been listening to this talk on thermodynamic laws for an hour and nothing is happening.,Bored,Physics
I am stuck on this microeconomic models question. The instructions are very unclear.,Confused,Business
This is an interesting perspective on geometric proofs. How does it compare to others?,Curious,Mathematics
I'm really struggling to grasp the core concept of linear transformations.,Confused,Mathematics
Why do we need to memorize these research ethics formulas? It feels so pointless.,Bored,Psychology
I've mastered the core concepts of political revolutions. Bring on the advanced stuff!,Confident,History
I don't get the relationship between these variables in geometric proofs.,Confused,Mathematics
Another lecture on historical sources? I'd rather do anything else right now.,Bored,History
I have read this section on market segmentation three times and still don't understand it.,Confused,Business
I feel completely ready to explain chemical equilibrium to anyone who is struggling.,Confident,Chemistry
I keep getting confused when trying to apply the formula for gravitational fields.,Confused,Physics
I have read this section on corporate finance three times and still don't understand it.,Confused,Business
Are there any advanced applications of marketing strategies in modern industry?,Curious,Business
This assignment on financial accounting was simple. I finished it in ten minutes.,Confident,Business
I have followed every step of the Fourier series tutorial and it still crashes.,Frustrated,Mathematics
The lecture on projectile motion went way too fast. I have no idea what's going on.,Confused,Physics
I'm interested in working on a research project related to structural load calculations.,Curious,Engineering
The lecture on character development went way too fast. I have no idea what's going on.,Confused,Literature
"This lecture on metaphorical structures is so dry, I'm falling asleep.",Bored,Literature
This compiler error in wave-particle duality is driving me crazy! It makes no sense.,Frustrated,Physics
I am stuck on this military strategies question. The instructions are very unclear.,Confused,History
I feel completely ready to explain behavior modification to anyone who is struggling.,Confident,Psychology
I have followed every step of the special relativity tutorial and it still crashes.,Frustrated,Physics
I fully understand neurotransmitters now and completed all the exercises easily!,Confident,Psychology
Why do we need to memorize these gas laws formulas? It feels so pointless.,Bored,Chemistry
I have read this section on spectroscopy three times and still don't understand it.,Confused,Chemistry
I don't understand the difference between these two algorithms in chemical equilibrium.,Confused,Chemistry
This is an interesting perspective on electromagnetic induction. How does it compare to others?,Curious,Physics
The professor's slides on symbolism are just walls of text. So uninteresting.,Bored,Literature
Why is the setup for angular momentum so incredibly difficult and poorly documented?,Frustrated,Physics
Are there any advanced applications of probability distributions in modern industry?,Curious,Mathematics
I have read this section on protein synthesis three times and still don't understand it.,Confused,Biology
The lecture on geometric proofs went way too fast. I have no idea what's going on.,Confused,Mathematics
The test on immune response was a breeze. I got a perfect score!,Confident,Biology
This Docker containers homework is extremely monotonous. I can't stay focused.,Bored,Computer Science
I'm curious to see what happens if we change the parameters in homeostasis.,Curious,Biology
This treaty negotiations assignment is a nightmare. It is way too hard.,Frustrated,History
Learning about angular momentum feels like watching paint dry. Zero excitement.,Bored,Physics
I'm completely lost on projectile motion. Can someone explain it in simple terms?,Confused,Physics
Can someone explain how vector spaces works? I am totally confused.,Confused,Mathematics
I'm curious to see what happens if we change the parameters in API routing.,Curious,Computer Science
Learning about ancient civilizations feels like watching paint dry. Zero excitement.,Bored,History
I find action potentials incredibly tedious. It is just rote repetition.,Bored,Biology
Can we apply personality traits concepts to solve this other problem?,Curious,Psychology
I fully understand Cold War diplomacy now and completed all the exercises easily!,Confident,History
How do researchers solve the open problems in genre conventions?,Curious,Literature
Implementing narrative voices was straightforward. I knew exactly what to do.,Confident,Literature
I don't understand the difference between these two algorithms in angular momentum.,Confused,Physics
I don't get the relationship between these variables in pointer references.,Confused,Computer Science
Can we apply eigenvalues and eigenvectors concepts to solve this other problem?,Curious,Mathematics
I've been listening to this talk on stress-strain analysis for an hour and nothing is happening.,Bored,Engineering
I find stress-strain analysis incredibly tedious. It is just rote repetition.,Bored,Engineering
I am stuck on this supply chain logistics question. The instructions are very unclear.,Confused,Business
This is an interesting perspective on character development. How does it compare to others?,Curious,Literature
How do researchers solve the open problems in gas laws?,Curious,Chemistry
This compiler error in eigenvalues and eigenvectors is driving me crazy! It makes no sense.,Frustrated,Mathematics
The test on gas laws was a breeze. I got a perfect score!,Confident,Chemistry
Another lecture on Cold War diplomacy? I'd rather do anything else right now.,Bored,History
This is an interesting perspective on poetic meters. How does it compare to others?,Curious,Literature
This error message in colonialism is completely useless. I am stuck.,Frustrated,History
Can we apply molecular orbitals concepts to solve this other problem?,Curious,Chemistry
I feel confident about my grasp of ecological niches ahead of the midterm.,Confident,Biology
I solved the entire literary analysis worksheet without looking at any hints.,Confident,Literature
I feel completely ready to explain photosynthesis pathways to anyone who is struggling.,Confident,Biology
What is the mathematical connection between projectile motion and other fields?,Curious,Physics
This compiler error in neurotransmitters is driving me crazy! It makes no sense.,Frustrated,Psychology
I have followed every step of the differential equations tutorial and it still crashes.,Frustrated,Mathematics
I am tired of getting stuck on basic syntax errors in consumer psychology.,Frustrated,Business
I'm completely lost on vector spaces. Can someone explain it in simple terms?,Confused,Mathematics
Another lecture on corporate finance? I'd rather do anything else right now.,Bored,Business
This is an interesting perspective on industrialization. How does it compare to others?,Curious,History
I feel like throwing my laptop out the window. behavior modification is so annoying.,Frustrated,Psychology
I solved the entire market segmentation worksheet without looking at any hints.,Confident,Business
I've mastered the core concepts of quantum entanglement. Bring on the advanced stuff!,Confident,Physics
Can someone explain how market segmentation works? I am totally confused.,Confused,Business
I feel like throwing my laptop out the window. military strategies is so annoying.,Frustrated,History
I'm curious to see what happens if we change the parameters in geometric proofs.,Curious,Mathematics
The class on matrix multiplication is moving at a snail's pace. I'm so disengaged.,Bored,Mathematics
I don't get the relationship between these variables in social influence.,Confused,Psychology
"This lecture on recursion is so dry, I'm falling asleep.",Bored,Computer Science
I feel confident about my grasp of historical sources ahead of the midterm.,Confident,History
This compiler error in differential equations is driving me crazy! It makes no sense.,Frustrated,Mathematics
The class on multithreading is moving at a snail's pace. I'm so disengaged.,Bored,Computer Science
I want to explore the history and development of stress-strain analysis theories.,Curious,Engineering
Can someone explain how quantum entanglement works? I am totally confused.,Confused,Physics
I'm completely lost on redox reactions. Can someone explain it in simple terms?,Confused,Chemistry
The lecture on historical sources went way too fast. I have no idea what's going on.,Confused,History
I keep getting confused when trying to apply the formula for thematic analysis.,Confused,Literature
I solved the entire rhetorical devices worksheet without looking at any hints.,Confident,Literature
I want to explore the history and development of quantum entanglement theories.,Curious,Physics
I'm really struggling to grasp the core concept of probability distributions.,Confused,Mathematics
I want to explore the history and development of organic synthesis theories.,Curious,Chemistry
I don't get the relationship between these variables in immune response.,Confused,Biology
I don't get the relationship between these variables in probability distributions.,Confused,Mathematics
I don't see the relevance of protein synthesis to real life. It is just empty theory.,Bored,Biology
This compiler error in poetic meters is driving me crazy! It makes no sense.,Frustrated,Literature
Why do we need to memorize these genre conventions formulas? It feels so pointless.,Bored,Literature
I don't get the relationship between these variables in historical contexts.,Confused,Literature
This compiler error in recursion is driving me crazy! It makes no sense.,Frustrated,Computer Science
I don't understand the difference between these two algorithms in historical contexts.,Confused,Literature
I've spent the whole weekend on behavior modification and made absolutely zero progress.,Frustrated,Psychology
I am stuck on this material strength question. The instructions are very unclear.,Confused,Engineering
I'm interested in working on a research project related to Docker containers.,Curious,Computer Science
I want to explore the history and development of thermodynamic laws theories.,Curious,Physics
I am stuck on this industrialization question. The instructions are very unclear.,Confused,History
I feel like throwing my laptop out the window. perception thresholds is so annoying.,Frustrated,Psychology
Can we apply circuit simulation concepts to solve this other problem?,Curious,Engineering
I'm really struggling to grasp the core concept of cellular respiration.,Confused,Biology
I'm completely lost on developmental stages. Can someone explain it in simple terms?,Confused,Psychology
What is the mathematical connection between photosynthesis pathways and other fields?,Curious,Biology
The professor's slides on literary analysis are just walls of text. So uninteresting.,Bored,Literature
I am stuck on this natural selection question. The instructions are very unclear.,Confused,Biology
I don't understand the difference between these two algorithms in gas laws.,Confused,Chemistry
I'm curious to see what happens if we change the parameters in linear transformations.,Curious,Mathematics
What is the mathematical connection between probability distributions and other fields?,Curious,Mathematics
I feel completely ready to explain thermochemistry to anyone who is struggling.,Confident,Chemistry
I am tired of getting stuck on basic syntax errors in literary analysis.,Frustrated,Literature
I'm making great progress in acid-base titration. It's all clicking so fast.,Confident,Chemistry
This Schrodinger equation homework is extremely monotonous. I can't stay focused.,Bored,Physics
How does thermodynamic laws scale to real-world datasets? I'd love to know more.,Curious,Physics
I'm curious to see what happens if we change the parameters in behavior modification.,Curious,Psychology
I feel confident about my grasp of differential equations ahead of the midterm.,Confident,Mathematics
The professor's slides on Fourier series are just walls of text. So uninteresting.,Bored,Mathematics
I keep getting confused when trying to apply the formula for genre conventions.,Confused,Literature
I've mastered the core concepts of cost-benefit analysis. Bring on the advanced stuff!,Confident,Business
What is the mathematical connection between character development and other fields?,Curious,Literature
"My solution for the multithreading problem is clean, efficient, and working perfectly.",Confident,Computer Science
I've spent the whole weekend on fluid dynamics and made absolutely zero progress.,Frustrated,Physics
I'm making great progress in structural load calculations. It's all clicking so fast.,Confident,Engineering
Why is the setup for supply chain logistics so incredibly difficult and poorly documented?,Frustrated,Business
The test on corporate finance was a breeze. I got a perfect score!,Confident,Business
Can we apply wave-particle duality concepts to solve this other problem?,Curious,Physics
I have followed every step of the probability distributions tutorial and it still crashes.,Frustrated,Mathematics
I don't understand the difference between these two algorithms in gravitational fields.,Confused,Physics
The lecture on immune response went way too fast. I have no idea what's going on.,Confused,Biology
I find stoichiometric calculations incredibly tedious. It is just rote repetition.,Bored,Chemistry
The class on eigenvalues and eigenvectors is moving at a snail's pace. I'm so disengaged.,Bored,Mathematics
This error message in neurotransmitters is completely useless. I am stuck.,Frustrated,Psychology
This aerodynamics homework is extremely monotonous. I can't stay focused.,Bored,Engineering
Are there any advanced applications of post-colonial literature in modern industry?,Curious,Literature
The lecture on differential equations went way too fast. I have no idea what's going on.,Confused,Mathematics
I am stuck on this aerodynamics question. The instructions are very unclear.,Confused,Engineering
I fully understand CAD modeling now and completed all the exercises easily!,Confident,Engineering
I'm really struggling to grasp the core concept of thematic analysis.,Confused,Literature
This is an interesting perspective on matrix multiplication. How does it compare to others?,Curious,Mathematics
I'm completely lost on treaty negotiations. Can someone explain it in simple terms?,Confused,History
I have followed every step of the projectile motion tutorial and it still crashes.,Frustrated,Physics
Can someone explain how metaphorical structures works? I am totally confused.,Confused,Literature
This perception thresholds assignment is a nightmare. It is way too hard.,Frustrated,Psychology
I am stuck on this organizational behavior question. The instructions are very unclear.,Confused,Business
The test on colonialism was a breeze. I got a perfect score!,Confident,History
I have read this section on classical conditioning three times and still don't understand it.,Confused,Psychology
I'm completely lost on spectroscopy. Can someone explain it in simple terms?,Confused,Chemistry
This digital logic gates assignment is a nightmare. It is way too hard.,Frustrated,Engineering
Why is the setup for memory retrieval so incredibly difficult and poorly documented?,Frustrated,Psychology
I have followed every step of the market segmentation tutorial and it still crashes.,Frustrated,Business
The lecture on partial derivatives went way too fast. I have no idea what's going on.,Confused,Mathematics
I feel confident about my grasp of metaphorical structures ahead of the midterm.,Confident,Literature
I've mastered the core concepts of historical sources. Bring on the advanced stuff!,Confident,History
I have read this section on gas laws three times and still don't understand it.,Confused,Chemistry
I don't understand the difference between these two algorithms in backpropagation.,Confused,Computer Science
How does material strength scale to real-world datasets? I'd love to know more.,Curious,Engineering
I don't understand the difference between these two algorithms in merge sort.,Confused,Computer Science
This is an interesting perspective on balance sheets. How does it compare to others?,Curious,Business
Why is the setup for perception thresholds so incredibly difficult and poorly documented?,Frustrated,Psychology
I have followed every step of the thermodynamic cycles tutorial and it still crashes.,Frustrated,Engineering
Can someone explain how neurotransmitters works? I am totally confused.,Confused,Psychology
I'm completely lost on covalent bonding. Can someone explain it in simple terms?,Confused,Chemistry
I fully understand research ethics now and completed all the exercises easily!,Confident,Psychology
I fully understand Fourier series now and completed all the exercises easily!,Confident,Mathematics
Implementing gravitational fields was straightforward. I knew exactly what to do.,Confident,Physics
How does quantum entanglement scale to real-world datasets? I'd love to know more.,Curious,Physics
Why do we need to memorize these digital logic gates formulas? It feels so pointless.,Bored,Engineering
I've mastered the core concepts of marketing strategies. Bring on the advanced stuff!,Confident,Business
I solved the entire enzyme kinetics worksheet without looking at any hints.,Confident,Chemistry
I don't get the relationship between these variables in social movements.,Confused,History
I feel completely ready to explain defense mechanisms to anyone who is struggling.,Confident,Psychology
I don't get the relationship between these variables in thermochemistry.,Confused,Chemistry
I feel completely ready to explain partial derivatives to anyone who is struggling.,Confident,Mathematics
Why do we need to memorize these thematic analysis formulas? It feels so pointless.,Bored,Literature
The test on stoichiometric calculations was a breeze. I got a perfect score!,Confident,Chemistry
Can we apply signal processing concepts to solve this other problem?,Curious,Engineering
I feel like throwing my laptop out the window. organizational behavior is so annoying.,Frustrated,Business
Can someone explain how renaissance art works? I am totally confused.,Confused,History
Why do we need to memorize these enzyme kinetics formulas? It feels so pointless.,Bored,Chemistry
I've mastered the core concepts of multithreading. Bring on the advanced stuff!,Confident,Computer Science
I am stuck on this DNA replication question. The instructions are very unclear.,Confused,Biology
I've been listening to this talk on gene splicing for an hour and nothing is happening.,Bored,Biology
"This lecture on eigenvalues and eigenvectors is so dry, I'm falling asleep.",Bored,Mathematics
Are there any advanced applications of structural load calculations in modern industry?,Curious,Engineering
Can we apply historical sources concepts to solve this other problem?,Curious,History
I'm making great progress in Schrodinger equation. It's all clicking so fast.,Confident,Physics
The class on memory retrieval is moving at a snail's pace. I'm so disengaged.,Bored,Psychology
I have followed every step of the research ethics tutorial and it still crashes.,Frustrated,Psychology
I've been listening to this talk on merge sort for an hour and nothing is happening.,Bored,Computer Science
Implementing circuit simulation was straightforward. I knew exactly what to do.,Confident,Engineering
I don't see the relevance of enzyme kinetics to real life. It is just empty theory.,Bored,Chemistry
How does genre conventions scale to real-world datasets? I'd love to know more.,Curious,Literature
I've been trying to solve this protein synthesis bug for hours and it's still failing!,Frustrated,Biology
This lecture on regular expressions was fascinating! Where can I read more about it?,Curious,Computer Science
I fully understand cellular respiration now and completed all the exercises easily!,Confident,Biology
I'm interested in working on a research project related to classical conditioning.,Curious,Psychology
Why does mental health disorders behave this way? It seems very counterintuitive.,Confused,Psychology
I feel completely ready to explain redox reactions to anyone who is struggling.,Confident,Chemistry
How do researchers solve the open problems in marketing strategies?,Curious,Business
I've mastered the core concepts of SQL joins. Bring on the advanced stuff!,Confident,Computer Science
I want to explore the history and development of heat transfer equations theories.,Curious,Engineering
I'm curious to see what happens if we change the parameters in Bayes theorem.,Curious,Mathematics
I want to explore the history and development of structural load calculations theories.,Curious,Engineering
How does consumer psychology scale to real-world datasets? I'd love to know more.,Curious,Business
Why does financial accounting behave this way? It seems very counterintuitive.,Confused,Business
Implementing organizational behavior was straightforward. I knew exactly what to do.,Confident,Business
I keep getting confused when trying to apply the formula for covalent bonding.,Confused,Chemistry
Learning about historical sources feels like watching paint dry. Zero excitement.,Bored,History
The test on historical contexts was a breeze. I got a perfect score!,Confident,Literature
The professor's slides on CAD modeling are just walls of text. So uninteresting.,Bored,Engineering
Why is the setup for covalent bonding so incredibly difficult and poorly documented?,Frustrated,Chemistry
I feel like throwing my laptop out the window. developmental stages is so annoying.,Frustrated,Psychology
I solved the entire symbolism worksheet without looking at any hints.,Confident,Literature
"This lecture on API routing is so dry, I'm falling asleep.",Bored,Computer Science
The professor's slides on personality traits are just walls of text. So uninteresting.,Bored,Psychology
I feel like throwing my laptop out the window. marketing strategies is so annoying.,Frustrated,Business
I am so frustrated with research ethics. Nothing is working the way it should.,Frustrated,Psychology
I have followed every step of the molecular orbitals tutorial and it still crashes.,Frustrated,Chemistry
Another lecture on periodic trends? I'd rather do anything else right now.,Bored,Chemistry
I've mastered the core concepts of thermodynamic cycles. Bring on the advanced stuff!,Confident,Engineering
I am so frustrated with supply chain logistics. Nothing is working the way it should.,Frustrated,Business
This is an interesting perspective on pointer references. How does it compare to others?,Curious,Computer Science
I have followed every step of the behavior modification tutorial and it still crashes.,Frustrated,Psychology
I'm interested in working on a research project related to pointer references.,Curious,Computer Science
This lecture on genre conventions was fascinating! Where can I read more about it?,Curious,Literature
I am tired of getting stuck on basic syntax errors in behavior modification.,Frustrated,Psychology
This assignment on regular expressions was simple. I finished it in ten minutes.,Confident,Computer Science
How do researchers solve the open problems in gravitational fields?,Curious,Physics
I find political revolutions incredibly tedious. It is just rote repetition.,Bored,History
I am tired of getting stuck on basic syntax errors in fluid mechanics.,Frustrated,Engineering
The professor's slides on metaphorical structures are just walls of text. So uninteresting.,Bored,Literature
This compiler error in stress-strain analysis is driving me crazy! It makes no sense.,Frustrated,Engineering
Another lecture on CAD modeling? I'd rather do anything else right now.,Bored,Engineering
I am so frustrated with marketing strategies. Nothing is working the way it should.,Frustrated,Business
This lecture on phylogenetic trees was fascinating! Where can I read more about it?,Curious,Biology
This circuit diagrams homework is extremely monotonous. I can't stay focused.,Bored,Physics
This lecture on cognitive dissonance was fascinating! Where can I read more about it?,Curious,Psychology
Why does thermodynamic laws behave this way? It seems very counterintuitive.,Confused,Physics
I've mastered the core concepts of French Revolution. Bring on the advanced stuff!,Confident,History
This is an interesting perspective on post-colonial literature. How does it compare to others?,Curious,Literature
I want to explore the history and development of research ethics theories.,Curious,Psychology
Implementing protein synthesis was straightforward. I knew exactly what to do.,Confident,Biology
How does cellular respiration scale to real-world datasets? I'd love to know more.,Curious,Biology
I don't see the relevance of binary search trees to real life. It is just empty theory.,Bored,Computer Science
The class on ecological niches is moving at a snail's pace. I'm so disengaged.,Bored,Biology
I've mastered the core concepts of angular momentum. Bring on the advanced stuff!,Confident,Physics
I feel confident about my grasp of molecular orbitals ahead of the midterm.,Confident,Chemistry
The professor's slides on rhetorical devices are just walls of text. So uninteresting.,Bored,Literature
I'm completely lost on organizational behavior. Can someone explain it in simple terms?,Confused,Business
This historical contexts assignment is a nightmare. It is way too hard.,Frustrated,Literature
I'm really struggling to grasp the core concept of historical contexts.,Confused,Literature
I don't understand the difference between these two algorithms in social influence.,Confused,Psychology
I've been listening to this talk on genre conventions for an hour and nothing is happening.,Bored,Literature
This is an interesting perspective on homeostasis. How does it compare to others?,Curious,Biology
I keep getting confused when trying to apply the formula for research ethics.,Confused,Psychology
The professor's slides on natural selection are just walls of text. So uninteresting.,Bored,Biology
I'm interested in working on a research project related to research ethics.,Curious,Psychology
The class on literary analysis is moving at a snail's pace. I'm so disengaged.,Bored,Literature
"This lecture on pointer references is so dry, I'm falling asleep.",Bored,Computer Science
What is the mathematical connection between colonialism and other fields?,Curious,History
I find supply chain logistics incredibly tedious. It is just rote repetition.,Bored,Business
I've spent the whole weekend on neurotransmitters and made absolutely zero progress.,Frustrated,Psychology
The professor's slides on Docker containers are just walls of text. So uninteresting.,Bored,Computer Science
I feel completely ready to explain action potentials to anyone who is struggling.,Confident,Biology
I don't see the relevance of Docker containers to real life. It is just empty theory.,Bored,Computer Science
Why do we need to memorize these stoichiometric calculations formulas? It feels so pointless.,Bored,Chemistry
The test on gene splicing was a breeze. I got a perfect score!,Confident,Biology
I've spent the whole weekend on pointer references and made absolutely zero progress.,Frustrated,Computer Science
This is an interesting perspective on Schrodinger equation. How does it compare to others?,Curious,Physics
I keep getting confused when trying to apply the formula for supply chain logistics.,Confused,Business
I solved the entire phylogenetic trees worksheet without looking at any hints.,Confident,Biology
I've spent the whole weekend on defense mechanisms and made absolutely zero progress.,Frustrated,Psychology
This error message in character development is completely useless. I am stuck.,Frustrated,Literature
This lecture on periodic trends was fascinating! Where can I read more about it?,Curious,Chemistry
The class on supply chain logistics is moving at a snail's pace. I'm so disengaged.,Bored,Business
I feel like throwing my laptop out the window. personality traits is so annoying.,Frustrated,Psychology
The class on gas laws is moving at a snail's pace. I'm so disengaged.,Bored,Chemistry
I find pointer references incredibly tedious. It is just rote repetition.,Bored,Computer Science
I'm curious to see what happens if we change the parameters in heat transfer equations.,Curious,Engineering
I am so frustrated with poetic meters. Nothing is working the way it should.,Frustrated,Literature
I've been trying to solve this stress-strain analysis bug for hours and it's still failing!,Frustrated,Engineering
I've been trying to solve this thermodynamic cycles bug for hours and it's still failing!,Frustrated,Engineering
I am tired of getting stuck on basic syntax errors in covalent bonding.,Frustrated,Chemistry
I feel like throwing my laptop out the window. circuit diagrams is so annoying.,Frustrated,Physics
I feel confident about my grasp of industrialization ahead of the midterm.,Confident,History
I'm curious to see what happens if we change the parameters in Schrodinger equation.,Curious,Physics
"My solution for the partial derivatives problem is clean, efficient, and working perfectly.",Confident,Mathematics
This lecture on microeconomic models was fascinating! Where can I read more about it?,Curious,Business
I have read this section on neurotransmitters three times and still don't understand it.,Confused,Psychology
I keep getting confused when trying to apply the formula for backpropagation.,Confused,Computer Science
I'm making great progress in angular momentum. It's all clicking so fast.,Confident,Physics
Why is the setup for mitosis and meiosis so incredibly difficult and poorly documented?,Frustrated,Biology
Why does symbolism behave this way? It seems very counterintuitive.,Confused,Literature
This assignment on political revolutions was simple. I finished it in ten minutes.,Confident,History
Implementing defense mechanisms was straightforward. I knew exactly what to do.,Confident,Psychology
This error message in digital logic gates is completely useless. I am stuck.,Frustrated,Engineering
I am stuck on this vector spaces question. The instructions are very unclear.,Confused,Mathematics
This error message in regular expressions is completely useless. I am stuck.,Frustrated,Computer Science
I find rhetorical devices incredibly tedious. It is just rote repetition.,Bored,Literature
I don't get the relationship between these variables in organizational behavior.,Confused,Business
Why does protein synthesis behave this way? It seems very counterintuitive.,Confused,Biology
I've spent the whole weekend on perception thresholds and made absolutely zero progress.,Frustrated,Psychology
I'm interested in working on a research project related to corporate finance.,Curious,Business
This quantum entanglement homework is extremely monotonous. I can't stay focused.,Bored,Physics
I have followed every step of the action potentials tutorial and it still crashes.,Frustrated,Biology
The class on enzyme kinetics is moving at a snail's pace. I'm so disengaged.,Bored,Chemistry
I'm making great progress in genre conventions. It's all clicking so fast.,Confident,Literature
Are there any advanced applications of microeconomic models in modern industry?,Curious,Business
I don't see the relevance of integrals to real life. It is just empty theory.,Bored,Mathematics
I'm really struggling to grasp the core concept of material strength.,Confused,Engineering
I am so frustrated with defense mechanisms. Nothing is working the way it should.,Frustrated,Psychology
I feel like throwing my laptop out the window. cognitive dissonance is so annoying.,Frustrated,Psychology
I am tired of getting stuck on basic syntax errors in gradient descent.,Frustrated,Computer Science
Another lecture on immune response? I'd rather do anything else right now.,Bored,Biology
The professor's slides on recursion are just walls of text. So uninteresting.,Bored,Computer Science
"My solution for the gravitational fields problem is clean, efficient, and working perfectly.",Confident,Physics
Another lecture on backpropagation? I'd rather do anything else right now.,Bored,Computer Science
Implementing cellular respiration was straightforward. I knew exactly what to do.,Confident,Biology
I feel confident about my grasp of cost-benefit analysis ahead of the midterm.,Confident,Business
I don't see the relevance of Bayes theorem to real life. It is just empty theory.,Bored,Mathematics
The professor's slides on gradient descent are just walls of text. So uninteresting.,Bored,Computer Science
Why does social influence behave this way? It seems very counterintuitive.,Confused,Psychology
I am so frustrated with circuit simulation. Nothing is working the way it should.,Frustrated,Engineering
I've spent the whole weekend on structural load calculations and made absolutely zero progress.,Frustrated,Engineering
I feel confident about my grasp of cognitive dissonance ahead of the midterm.,Confident,Psychology
I have followed every step of the military strategies tutorial and it still crashes.,Frustrated,History
"My solution for the differential equations problem is clean, efficient, and working perfectly.",Confident,Mathematics
Why does heat transfer equations behave this way? It seems very counterintuitive.,Confused,Engineering
Why does integrals behave this way? It seems very counterintuitive.,Confused,Mathematics
I don't see the relevance of action potentials to real life. It is just empty theory.,Bored,Biology
I've spent the whole weekend on consumer psychology and made absolutely zero progress.,Frustrated,Business
I am so frustrated with thermodynamic cycles. Nothing is working the way it should.,Frustrated,Engineering
I keep getting confused when trying to apply the formula for heat transfer equations.,Confused,Engineering
The professor's slides on Schrodinger equation are just walls of text. So uninteresting.,Bored,Physics
This error message in cost-benefit analysis is completely useless. I am stuck.,Frustrated,Business
This error message in thermochemistry is completely useless. I am stuck.,Frustrated,Chemistry
I have followed every step of the marketing strategies tutorial and it still crashes.,Frustrated,Business
I keep getting confused when trying to apply the formula for API routing.,Confused,Computer Science
I've been listening to this talk on political revolutions for an hour and nothing is happening.,Bored,History
Implementing digital logic gates was straightforward. I knew exactly what to do.,Confident,Engineering
Are there any advanced applications of structuralism in modern industry?,Curious,Literature
Another lecture on social movements? I'd rather do anything else right now.,Bored,History
I don't understand the difference between these two algorithms in poetic meters.,Confused,Literature
What is the mathematical connection between social influence and other fields?,Curious,Psychology
I don't see the relevance of redox reactions to real life. It is just empty theory.,Bored,Chemistry
